hcc,is_chronic,model_version,model_domain
HCC223,Y,V28,CMS-HCC
HCC67,Y,V24,CMS-HCC
HCC119,Y,V24,CMS-HCC
HCC165,,V24,CMS-HCC
HCC231,Y,V28,CMS-HCC
HCC408,,V28,CMS-HCC
HCC454,Y,V28,CMS-HCC
HCC63,Y,V24,CMS-HCC
HCC108,Y,V24,CMS-HCC
HCC109,,V24,CMS-HCC
HCC143,Y,V24,CMS-HCC
HCC35,Y,V28,CMS-HCC
HCC238,Y,V28,CMS-HCC
HCC301,Y,V28,CMS-HCC
HCC419,,V28,CMS-HCC
HCC72,Y,V24,CMS-HCC
HCC114,,V24,CMS-HCC
HCC198,,V24,CMS-HCC
HCC6,,V24,CMS-HCC
HCC22,Y,V28,CMS-HCC
HCC194,Y,V28,CMS-HCC
HCC254,Y,V28,CMS-HCC
HCC80,Y,V24,CMS-HCC
HCC100,Y,V24,CMS-HCC
HCC21,,V24,CMS-HCC
HCC252,Y,V28,CMS-HCC
HCC418,,V28,CMS-HCC
HCC159,Y,V24,CMS-HCC
HCC32,,V24,CMS-HCC
HCC325,,V28,CMS-HCC
HCC364,,V28,CMS-HCC
HCC104,Y,V24,CMS-HCC
HCC113,Y,V24,CMS-HCC
HCC98,Y,V28,CMS-HCC
HCC283,,V28,CMS-HCC
HCC407,,V28,CMS-HCC
HCC93,Y,V24,CMS-HCC
HCC137,Y,V24,CMS-HCC
HCC8,Y,V24,CMS-HCC
HCC27,Y,V24,CMS-HCC
HCC124,,V28,CMS-HCC
HCC406,,V28,CMS-HCC
HCC429,,V28,CMS-HCC
HCC68,Y,V24,CMS-HCC
HCC73,Y,V24,CMS-HCC
HCC82,Y,V24,CMS-HCC
HCC98,Y,V24,CMS-HCC
HCC144,,V24,CMS-HCC
HCC1,Y,V24,CMS-HCC
HCC367,,V28,CMS-HCC
HCC405,,V28,CMS-HCC
HCC60,Y,V24,CMS-HCC
HCC95,Y,V24,CMS-HCC
HCC150,,V24,CMS-HCC
HCC9,Y,V24,CMS-HCC
HCC42,Y,V24,CMS-HCC
HCC50,,V24,CMS-HCC
HCC57,Y,V24,CMS-HCC
HCC79,Y,V24,CMS-HCC
HCC131,,V24,CMS-HCC
HCC132,Y,V24,CMS-HCC
HCC50,Y,V28,CMS-HCC
HCC253,Y,V28,CMS-HCC
HCC430,,V28,CMS-HCC
HCC92,Y,V24,CMS-HCC
HCC190,,V24,CMS-HCC
HCC64,Y,V28,CMS-HCC
HCC197,,V24,CMS-HCC
HCC10,Y,V24,CMS-HCC
HCC167,Y,V28,CMS-HCC
HCC313,Y,V28,CMS-HCC
HCC441,,V28,CMS-HCC
HCC451,Y,V28,CMS-HCC
HCC463,Y,V28,CMS-HCC
HCC46,Y,V24,CMS-HCC
HCC70,Y,V24,CMS-HCC
HCC187,Y,V24,CMS-HCC
HCC195,Y,V28,CMS-HCC
HCC201,Y,V28,CMS-HCC
HCC266,Y,V28,CMS-HCC
HCC145,,V24,CMS-HCC
HCC26,Y,V24,CMS-HCC
HCC180,Y,V28,CMS-HCC
HCC278,Y,V28,CMS-HCC
HCC341,Y,V28,CMS-HCC
HCC401,,V28,CMS-HCC
HCC449,Y,V28,CMS-HCC
HCC39,,V24,CMS-HCC
HCC3,,V24,CMS-HCC
HCC4,,V28,CMS-HCC
HCC18,Y,V28,CMS-HCC
HCC410,Y,V28,CMS-HCC
HCC16,,V24,CMS-HCC
HCC154,Y,V28,CMS-HCC
HCC169,Y,V28,CMS-HCC
HCC193,Y,V28,CMS-HCC
HCC312,,V28,CMS-HCC
HCC371,,V28,CMS-HCC
HCC55,Y,V22,CMS-HCC
HCC113,Y,V22,CMS-HCC
HCC117,,V22,CMS-HCC
HCC8,Y,V23,CMS-HCC
HCC18,Y,V23,CMS-HCC
HCC114,,V23,CMS-HCC
HCC115,,V23,CMS-HCC
HCC189,Y,V23,CMS-HCC
HCC175,,V22,CMS-HCC
HCC74,Y,V23,CMS-HCC
HCC157,Y,V22,CMS-HCC
HCC136,Y,V23,CMS-HCC
HCC143,Y,V23,CMS-HCC
HCC70,Y,V22,CMS-HCC
HCC135,,V22,CMS-HCC
HCC181,Y,V22,CMS-HCC
HCC199,,V22,CMS-HCC
HCC91,Y,V23,CMS-HCC
HCC147,Y,V23,CMS-HCC
HCC193,,V23,CMS-HCC
HCC22,Y,V22,CMS-HCC
HCC145,,V22,CMS-HCC
HCC149,Y,V23,CMS-HCC
HCC13,,V22,CMS-HCC
HCC33,Y,V22,CMS-HCC
HCC121,,V22,CMS-HCC
HCC153,,V22,CMS-HCC
HCC33,,V23,CMS-HCC
HCC80,Y,V23,CMS-HCC
HCC92,Y,V23,CMS-HCC
HCC45,,V22,CMS-HCC
HCC116,,V22,CMS-HCC
HCC191,,V22,CMS-HCC
HCC170,,V23,CMS-HCC
HCC43,Y,V22,CMS-HCC
HCC43,Y,V23,CMS-HCC
HCC140,Y,V23,CMS-HCC
HCC88,Y,V23,CMS-HCC
HCC179,,V23,CMS-HCC
HCC45,,V23,CMS-HCC
HCC195,,V23,CMS-HCC
HCC186,Y,V22,CMS-HCC
HCC94,Y,V23,CMS-HCC
HCC117,,V23,CMS-HCC
HCC152,,V23,CMS-HCC
HCC187,Y,V23,CMS-HCC
HCC48,Y,V22,CMS-HCC
HCC81,Y,V22,CMS-HCC
HCC95,Y,V22,CMS-HCC
HCC141,Y,V22,CMS-HCC
HCC160,Y,V22,CMS-HCC
HCC32,,V23,CMS-HCC
HCC51,Y,V23,CMS-HCC
HCC103,Y,V23,CMS-HCC
