diagnosis_code,cc,model_name
C383,11,CMS-HCC ESRD Model V21
C384,9,CMS-HCC ESRD Model V21
C388,11,CMS-HCC ESRD Model V21
C390,11,CMS-HCC ESRD Model V21
C399,11,CMS-HCC ESRD Model V21
C4000,10,CMS-HCC ESRD Model V21
C4001,10,CMS-HCC ESRD Model V21
C4002,10,CMS-HCC ESRD Model V21
C4010,10,CMS-HCC ESRD Model V21
C4011,10,CMS-HCC ESRD Model V21
C4012,10,CMS-HCC ESRD Model V21
C4020,10,CMS-HCC ESRD Model V21
C4021,10,CMS-HCC ESRD Model V21
C4022,10,CMS-HCC ESRD Model V21
C4030,10,CMS-HCC ESRD Model V21
C4031,10,CMS-HCC ESRD Model V21
C4032,10,CMS-HCC ESRD Model V21
C4080,10,CMS-HCC ESRD Model V21
C4081,10,CMS-HCC ESRD Model V21
C4082,10,CMS-HCC ESRD Model V21
C4090,10,CMS-HCC ESRD Model V21
C4091,10,CMS-HCC ESRD Model V21
C4092,10,CMS-HCC ESRD Model V21
C410,10,CMS-HCC ESRD Model V21
C411,10,CMS-HCC ESRD Model V21
C412,10,CMS-HCC ESRD Model V21
C413,10,CMS-HCC ESRD Model V21
C414,10,CMS-HCC ESRD Model V21
C419,10,CMS-HCC ESRD Model V21
C430,12,CMS-HCC ESRD Model V21
C4310,12,CMS-HCC ESRD Model V21
C43111,12,CMS-HCC ESRD Model V21
C43112,12,CMS-HCC ESRD Model V21
C43121,12,CMS-HCC ESRD Model V21
C43122,12,CMS-HCC ESRD Model V21
C4320,12,CMS-HCC ESRD Model V21
C4321,12,CMS-HCC ESRD Model V21
C4322,12,CMS-HCC ESRD Model V21
C4330,12,CMS-HCC ESRD Model V21
C4331,12,CMS-HCC ESRD Model V21
C4339,12,CMS-HCC ESRD Model V21
C434,12,CMS-HCC ESRD Model V21
C4351,12,CMS-HCC ESRD Model V21
C4352,12,CMS-HCC ESRD Model V21
C4359,12,CMS-HCC ESRD Model V21
C4360,12,CMS-HCC ESRD Model V21
C4361,12,CMS-HCC ESRD Model V21
C4362,12,CMS-HCC ESRD Model V21
C4370,12,CMS-HCC ESRD Model V21
C4371,12,CMS-HCC ESRD Model V21
C4372,12,CMS-HCC ESRD Model V21
C438,12,CMS-HCC ESRD Model V21
C439,12,CMS-HCC ESRD Model V21
C450,9,CMS-HCC ESRD Model V21
C451,9,CMS-HCC ESRD Model V21
C452,9,CMS-HCC ESRD Model V21
C457,9,CMS-HCC ESRD Model V21
C459,9,CMS-HCC ESRD Model V21
C460,10,CMS-HCC ESRD Model V21
C461,10,CMS-HCC ESRD Model V21
C462,10,CMS-HCC ESRD Model V21
C463,10,CMS-HCC ESRD Model V21
C464,10,CMS-HCC ESRD Model V21
C4650,10,CMS-HCC ESRD Model V21
C4651,10,CMS-HCC ESRD Model V21
C4652,10,CMS-HCC ESRD Model V21
C467,10,CMS-HCC ESRD Model V21
C469,10,CMS-HCC ESRD Model V21
C470,10,CMS-HCC ESRD Model V21
C4710,10,CMS-HCC ESRD Model V21
C4711,10,CMS-HCC ESRD Model V21
C4712,10,CMS-HCC ESRD Model V21
C4720,10,CMS-HCC ESRD Model V21
C4721,10,CMS-HCC ESRD Model V21
C4722,10,CMS-HCC ESRD Model V21
C473,10,CMS-HCC ESRD Model V21
C474,10,CMS-HCC ESRD Model V21
C475,10,CMS-HCC ESRD Model V21
C476,10,CMS-HCC ESRD Model V21
C478,10,CMS-HCC ESRD Model V21
C479,10,CMS-HCC ESRD Model V21
C480,9,CMS-HCC ESRD Model V21
C481,9,CMS-HCC ESRD Model V21
C482,9,CMS-HCC ESRD Model V21
C488,9,CMS-HCC ESRD Model V21
C490,10,CMS-HCC ESRD Model V21
C4910,10,CMS-HCC ESRD Model V21
C4911,10,CMS-HCC ESRD Model V21
C4912,10,CMS-HCC ESRD Model V21
C4920,10,CMS-HCC ESRD Model V21
C4921,10,CMS-HCC ESRD Model V21
C4922,10,CMS-HCC ESRD Model V21
C493,10,CMS-HCC ESRD Model V21
C494,10,CMS-HCC ESRD Model V21
C495,10,CMS-HCC ESRD Model V21
C496,10,CMS-HCC ESRD Model V21
C498,10,CMS-HCC ESRD Model V21
C499,10,CMS-HCC ESRD Model V21
C49A0,10,CMS-HCC ESRD Model V21
C49A1,10,CMS-HCC ESRD Model V21
C49A2,10,CMS-HCC ESRD Model V21
C49A3,10,CMS-HCC ESRD Model V21
C49A4,10,CMS-HCC ESRD Model V21
C49A5,10,CMS-HCC ESRD Model V21
C49A9,10,CMS-HCC ESRD Model V21
C4A0,12,CMS-HCC ESRD Model V21
C4A10,12,CMS-HCC ESRD Model V21
C4A111,12,CMS-HCC ESRD Model V21
C4A112,12,CMS-HCC ESRD Model V21
C4A121,12,CMS-HCC ESRD Model V21
C4A122,12,CMS-HCC ESRD Model V21
C4A20,12,CMS-HCC ESRD Model V21
C4A21,12,CMS-HCC ESRD Model V21
C4A22,12,CMS-HCC ESRD Model V21
C4A30,12,CMS-HCC ESRD Model V21
C4A31,12,CMS-HCC ESRD Model V21
C4A39,12,CMS-HCC ESRD Model V21
C4A4,12,CMS-HCC ESRD Model V21
C4A51,12,CMS-HCC ESRD Model V21
C4A52,12,CMS-HCC ESRD Model V21
C4A59,12,CMS-HCC ESRD Model V21
C4A60,12,CMS-HCC ESRD Model V21
C4A61,12,CMS-HCC ESRD Model V21
C4A62,12,CMS-HCC ESRD Model V21
C4A70,12,CMS-HCC ESRD Model V21
